id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,first_paragraph
Q12978,Guy,Verhofstadt,1953-04-11,,Dendermonde,https://nl.wikipedia.org/wiki/Guy_Verhofstadt,1999-07-12,2008-03-20,"Guy Maurice Marie-Louise Verhofstadt is een Belgisch politicus voor de Open Vlaamse Liberalen en Democraten . Hij was premier van België van 12 juli 1999 tot 20 maart 2008 in drie regeringen. Nu is hij lid van het Europees Parlement, waar hij van 2009 tot 2019 fractieleider van de Alliantie van Liberalen en Democraten voor Europa was."
Q12981,Yves,Leterme,1960-10-06,,Wervik,https://nl.wikipedia.org/wiki/Yves_Leterme,2009-11-25,2011-12-06,Yves Camille Désiré Leterme is een Belgisch politicus. Hij was onder meer Vlaams minister-president en premier van België. Hij was lang boegbeeld van de CD&V en boegbeeld van het toenmalige kartel CD&V/N-VA.
Q12983,Herman,None,1947-10-31,,Etterbeek,https://nl.wikipedia.org/wiki/Herman_Van_Rompuy,2008-12-30,2009-11-25,"Herman Achille graaf Van Rompuy is een Belgische politicus van de christendemocratische partij CD&V. Hij was tussen 30 december 2008 en 25 november 2009 de premier van België en van 1 januari 2010 tot en met 30 november 2014 voorzitter van de Europese Raad, in de media vaak incorrect 'president van Europa' genoemd. Op 19 november 2009 werd bekendgemaakt dat hij was verkozen tot de eerste permanente voorzitter en op 1 maart 2012 werd Van Rompuy met algemene stemmen door de 27 staatshoofden en regeringsleiders van de EU voor een tweede mandaat benoemd. Na deze termijn was hij niet meer herkiesbaar."
Q14989,Léon,Delacroix,1867-12-27,1929-10-15,Saint-Josse-ten-Noode,https://nl.wikipedia.org/wiki/L%C3%A9on_Delacroix,1918-11-21,1920-11-20,Léon Fréderic Gustave Delacroix was een Belgisch katholiek politicus. De Léon Delacroixstraat in Anderlecht en het metrostation Delacroix werden naar hem vernoemd.
Q14990,Henry,Carton,1869-01-31,1951-05-06,Brussels,https://nl.wikipedia.org/wiki/Henri_Carton_de_Wiart,1920-11-20,1921-12-16,Henri Victor Marie Ghislain graaf Carton de Wiart was een Belgische politicus. Hij was Eerste Minister van 1920 tot 1921.
Q14991,Georges,Theunis,1873-02-28,1966-01-04,Montegnée,https://nl.wikipedia.org/wiki/Georges_Theunis,1934-11-20,1935-03-25,Georges Emile Pierre Léonard Theunis was een Belgisch politicus van de Katholieke Partij.
Q14992,Aloïs,Van de Vyvere,1871-06-08,1961-10-22,Tielt,https://nl.wikipedia.org/wiki/Aloys_Van_de_Vyvere,1925-05-13,1925-06-17,Aloys Jean Maria Joseph Van de Vyvere was een Belgisch katholiek volksvertegenwoordiger en minister.
Q14993,Prosper,Poullet,1868-03-05,1937-12-03,Leuven,https://nl.wikipedia.org/wiki/Prosper_Poullet,1925-06-17,1926-05-20,Prosper Antoine Marie Joseph burggraaf Poullet was een Belgisch politicus.
Q14994,Henri,Jaspar,1870-07-28,1939-02-15,Schaerbeek - Schaarbeek,https://nl.wikipedia.org/wiki/Henri_Jaspar,1926-05-20,1931-06-06,"Henri Jaspar was een Belgisch katholiek politicus, die twee keer premier van België was."
Q14995,Jules,None,1862-12-03,1934-07-15,Ixelles - Elsene,https://nl.wikipedia.org/wiki/Jules_Renkin,1931-06-06,1932-10-22,Jules Laurent Jean Louis Renkin was een Belgisch katholiek politicus.
Q14996,Paul,Van Zeeland,1893-11-11,1973-09-22,Soignies,https://nl.wikipedia.org/wiki/Paul_van_Zeeland,1935-03-25,1937-11-24,"Paul Guillaume van Zeeland was een Belgisch advocaat, econoom, katholiek politicus en staatsman."
Q14997,Achille,Van Acker,1898-04-08,1975-07-10,Bruges,https://nl.wikipedia.org/wiki/Achiel_Van_Acker,1954-04-23,1958-06-26,Achille Honoré Van Acker uitspraakⓘ was een Belgisch socialistisch politicus. Hij was viermaal premier van België.
