id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,first_paragraph
Q157,François,Hollande,1954-08-12,,Rouen,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hollande,2012-05-15,2017-05-14,"François Hollande Écouter, né le 12 août 1954 à Rouen, est un haut fonctionnaire et homme d'État français. Il est président de la République française du 15 mai 2012 au 14 mai 2017."
Q329,Nicolas,Sarkozy,1955-01-28,,Paris,https://fr.wikipedia.org/wiki/Nicolas_Sarkozy,2007-05-16,2012-05-15,"Nicolas Sarközy de Nagy-Bocsa, dit Nicolas Sarkozy, né le 28 janvier 1955 à Paris, est un homme d'État français. Il est président de la République française du 16 mai 2007 au 15 mai 2012."
Q2038,François,Mitterrand,1916-10-26,1996-01-08,Jarnac,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand,1981-05-21,1995-05-17,"François Mitterrand Écouter, né le 26 octobre 1916 à Jarnac et mort le 8 janvier 1996 à Paris, est un homme d'État français, président de la République du 21 mai 1981 au 17 mai 1995."
Q2042,Charles,de Gaulle,1890-11-22,1970-11-09,Lille,https://fr.wikipedia.org/wiki/Charles_de_Gaulle,1959-01-08,1969-04-28,"Charles de Gaulle, communément appelé le général de Gaulle ou parfois simplement le Général, né le 22 novembre 1890 à Lille et mort le 9 novembre 1970 à Colombey-les-Deux-Églises, est un militaire, résistant, homme d'État et écrivain français."
Q2105,Jacques,Chirac,1932-11-29,2019-09-26,5th arrondissement of Paris,https://fr.wikipedia.org/wiki/Jacques_Chirac,1995-05-17,2007-05-16,"Jacques Chirac, né le 29 novembre 1932 dans le 5e arrondissement de Paris et mort le 26 septembre 2019 dans le 6e arrondissement de la même ville, est un haut fonctionnaire et homme d'État français. Il est Premier ministre de 1974 à 1976, puis de 1986 à 1988, et président de la République de 1995 à 2007."
Q2124,Valéry,Giscard d'Estaing,1926-02-02,2020-12-02,Koblenz,https://fr.wikipedia.org/wiki/Val%C3%A9ry_Giscard_d%27Estaing,1974-05-27,1981-05-21,"Valéry Giscard d'Estaing Écouter — communément appelé « Giscard » ou désigné par ses initiales, « VGE » —, né le 2 février 1926 à Coblence et mort le 2 décembre 2020 à Authon, est un homme d'État français, président de la République de 1974 à 1981."
Q2185,Georges,Pompidou,1911-07-05,1974-04-02,Montboudif,https://fr.wikipedia.org/wiki/Georges_Pompidou,1969-06-20,1974-04-02,"Georges Pompidou, né le 5 juillet 1911 à Montboudif et mort le 2 avril 1974 à Paris, est un haut fonctionnaire et homme d'État français. Il est Premier ministre du 14 avril 1962 au 10 juillet 1968 et président de la République du 20 juin 1969 à sa mort."
Q5738,Adolphe,Thiers,1797-04-15,1877-09-03,Marseille,https://fr.wikipedia.org/wiki/Adolphe_Thiers,1871-08-31,1873-05-24,"Adolphe Thiers, né le 15 avril 1797 à Marseille et mort le 3 septembre 1877 à Saint-Germain-en-Laye, est un avocat, journaliste, historien et homme d'État français."
Q7721,Napoléon,Bonaparte,1808-04-20,1873-01-09,Paris,https://fr.wikipedia.org/wiki/Napol%C3%A9on_III,1848-12-20,1852-12-02,"Charles Louis Napoléon Bonaparte, dit Louis-Napoléon Bonaparte, né le 20 avril 1808 à Paris et mort le 9 janvier 1873 à Chislehurst, est un monarque et un homme d'État français. Il est à la fois l'unique président de la Deuxième République, le premier chef d'État français élu au suffrage universel masculin, le 10 décembre 1848, le premier président de la République française, et, après la proclamation de l'Empire le 2 décembre 1852, le dernier monarque du pays sous le nom de Napoléon III, empereur des Français."
Q12680,Paul,Doumer,1857-03-22,1932-05-07,Aurillac,https://fr.wikipedia.org/wiki/Paul_Doumer,1931-06-13,1932-05-07,"Joseph Athanase Doumer, dit Paul Doumer, né le 22 mars 1857 à Aurillac et assassiné le 7 mai 1932 à Paris, est un homme d'État français. Il est président de la République du 13 juin 1931 à sa mort."
