id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,first_paragraph
Q23,George,Washington,1732-02-22,1799-12-14,Westmoreland County,https://en.wikipedia.org/wiki/George_Washington,1789-04-30,1797-03-04,"George Washington was an American Founding Father, military officer, politician and statesman who served as the first president of the United States from 1789 to 1797. Appointed by the Second Continental Congress as commander of the Continental Army in 1775, Washington led Patriot forces to victory in the American Revolutionary War and then served as president of the Constitutional Convention in 1787, which drafted and ratified the Constitution of the United States and established the U.S. federal government. Washington has thus been known as the ""Father of the Nation""."
Q76,Barack,Obama,1961-08-04,,Kapiolani Medical Center for Women and Children,https://en.wikipedia.org/wiki/Barack_Obama,2009-01-20,2017-01-20,"Barack Hussein Obama II is an American politician who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, he was the first African-American president in U.S. history. Obama previously served as a U.S. senator representing Illinois from 2005 to 2008, as an Illinois state senator from 1997 to 2004, and as a civil rights lawyer and university lecturer."
Q91,Abraham,Lincoln,1809-02-12,1865-04-15,Sinking Spring Farm,https://en.wikipedia.org/wiki/Abraham_Lincoln,1861-03-04,1865-04-15,"Abraham Lincoln was an American lawyer, politician, and statesman who served as the 16th president of the United States from 1861 until his assassination in 1865. Lincoln led the United States through the American Civil War, defending the nation as a constitutional union, defeating the insurgent Confederacy, abolishing slavery, expanding the power of the federal government, and modernizing the U.S. economy."
Q207,George,Bush,1946-07-06,,New Haven,https://en.wikipedia.org/wiki/George_W._Bush,2001-01-20,2009-01-20,"George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. A member of the Republican Party, he previously served as the 46th governor of Texas from 1995 to 2000."
Q1124,Bill,Clinton,1946-08-19,,Hope,https://en.wikipedia.org/wiki/Bill_Clinton,1993-01-20,2001-01-20,"William Jefferson Clinton is an American politician who served as the 42nd president of the United States from 1993 to 2001. A member of the Democratic Party, he previously served as Governor of Arkansas from 1979 to 1981 and again from 1983 to 1992. Clinton, whose policies reflected a centrist ""Third Way"" political philosophy, became known as a New Democrat."
Q6279,Joe,Biden,1942-11-20,,St. Mary's Hospital,https://en.wikipedia.org/wiki/Joe_Biden,2021-01-20,,"Joseph Robinette Biden Jr. is an American politician who is the 46th and current president of the United States. A member of the Democratic Party, he previously served as the 47th vice president from 2009 to 2017 under President Barack Obama and represented Delaware in the United States Senate from 1973 to 2009."
Q8007,Franklin,Roosevelt,1882-01-30,1945-04-12,Hyde Park,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1933-03-04,1945-04-12,"Franklin Delano Roosevelt, commonly known as FDR, was an American politician who served as the 32nd president of the United States from 1933 until his death in 1945. He was a member of the Democratic Party and is the only U.S. president to have served more than two terms. His initial two terms were centered on combating the Great Depression, while his third and fourth saw him shift his focus to America's involvement in World War II."
Q8612,Andrew,Johnson,1808-12-29,1875-07-31,Raleigh,https://en.wikipedia.org/wiki/Andrew_Johnson,1865-04-15,1869-03-04,"Andrew Johnson was an American politician who served as the 17th president of the United States from 1865 to 1869. He assumed the presidency following the assassination of Abraham Lincoln, as he was vice president at that time. Johnson was a Democrat who ran with Abraham Lincoln on the National Union Party ticket, coming to office as the Civil War concluded. He favored quick restoration of the seceded states to the Union without protection for the newly freed people who were formerly enslaved. This led to conflict with the Republican-dominated Congress, culminating in his impeachment by the House of Representatives in 1868. He was acquitted in the Senate by one vote."
Q9582,Gerald,Ford,1913-07-14,2006-12-26,Omaha,https://en.wikipedia.org/wiki/Gerald_Ford,1974-08-09,1977-01-20,"Gerald Rudolph Ford Jr. was an American politician who served as the 38th president of the United States from 1974 to 1977. He previously served as the leader of the Republican Party in the U.S. House of Representatives from 1965 to 1973, and as the 40th vice president under President Richard Nixon from 1973 to 1974. Ford succeeded to the presidency when Nixon resigned in 1974, but was defeated for election to a full term in 1976. Ford is the only person to become U.S. president without winning an election for president or vice president."
Q9588,Richard,Nixon,1913-01-09,1994-04-22,Yorba Linda,https://en.wikipedia.org/wiki/Richard_Nixon,1969-01-20,1974-08-09,"Richard Milhous Nixon was the 37th president of the United States, serving from 1969 to 1974. A member of the Republican Party, he previously served as a representative and senator from California and as the 36th vice president from 1953 to 1961 under President Dwight D. Eisenhower. His presidency saw the reduction of U.S. involvement in the Vietnam War, détente with the Soviet Union and China, the Apollo 11 Moon landing, and the establishment of the Environmental Protection Agency and Occupational Safety and Health Administration. Nixon's second term ended early when he became the only U.S. president to resign from office, as a result of the Watergate scandal."
Q9640,Lyndon,Johnson,1908-08-27,1973-01-22,Stonewall,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1963-11-22,1969-01-20,"Lyndon Baines Johnson, often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969. He became president after the assassination of John F. Kennedy, under whom he had served as the 37th vice president from 1961 to 1963. A Democrat from Texas, Johnson also served as a U.S. representative and U.S. senator."
Q9696,John,Kennedy,1917-05-29,1963-11-22,Brookline,https://en.wikipedia.org/wiki/John_F._Kennedy,1961-01-20,1963-11-22,"John Fitzgerald Kennedy, often referred to as JFK or Jack, was an American politician who served as the 35th president of the United States from 1961 until his assassination in 1963. He was the youngest person elected president. Kennedy served at the height of the Cold War, and the majority of his foreign policy concerned relations with the Soviet Union and Cuba. A Democrat, Kennedy represented Massachusetts in both houses of the U.S. Congress prior to his presidency."
Q9916,Dwight,Eisenhower,1890-10-14,1969-03-28,Denison,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1953-01-20,1961-01-20,"Dwight David Eisenhower, nicknamed Ike, was an American military officer and statesman who served as the 34th president of the United States from 1953 to 1961. During World War II, he was Supreme Commander of the Allied Expeditionary Force in Europe and achieved the five-star rank as General of the Army. Eisenhower planned and supervised two of the most consequential military campaigns of World War II: Operation Torch in the North Africa campaign in 1942–1943 and the invasion of Normandy in 1944."
Q9960,Ronald,Reagan,1911-02-06,2004-06-05,Tampico,https://en.wikipedia.org/wiki/Ronald_Reagan,1981-01-20,1989-01-20,"Ronald Wilson Reagan was an American politician and actor who served as the 40th president of the United States from 1981 to 1989. A member of the Republican Party, his presidency constituted the Reagan era, and he is considered one of the most prominent conservative figures in American history."
Q11613,Harry,Truman,1884-05-08,1972-12-26,Lamar,https://en.wikipedia.org/wiki/Harry_S._Truman,1945-04-12,1953-01-20,"Harry S. Truman was the 33rd president of the United States, serving from 1945 to 1953. A member of the Democratic Party, he previously served as a United States senator from Missouri from 1935 to 1945 and briefly as the 34th vice president in 1945 under Franklin D. Roosevelt. Assuming the presidency after Roosevelt's death, Truman implemented the Marshall Plan in the wake of World War II to rebuild the economy of Western Europe and established both the Truman Doctrine and NATO to contain the expansion of Soviet communism. He proposed numerous liberal domestic reforms, but few were enacted by the conservative coalition that dominated the Congress."
Q11806,John,Adams,,1826-07-04,Braintree,https://en.wikipedia.org/wiki/John_Adams,1797-03-04,1801-03-04,"John Adams was an American statesman, attorney, diplomat, writer, and Founding Father who served as the second president of the United States from 1797 to 1801. Before his presidency, he was a leader of the American Revolution that achieved independence from Great Britain. During the latter part of the Revolutionary War and in the early years of the new nation, he served the U.S. government as a senior diplomat in Europe. Adams was the first person to hold the office of vice president of the United States, serving from 1789 to 1797. He was a dedicated diarist and regularly corresponded with important contemporaries, including his wife and adviser Abigail Adams and his friend and political rival Thomas Jefferson."
Q11812,Thomas,Jefferson,,1826-07-04,Shadwell,https://en.wikipedia.org/wiki/Thomas_Jefferson,1801-03-04,1809-03-04,"Thomas Jefferson was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809. He was the primary author of the Declaration of Independence. Following the American Revolutionary War and prior to becoming president in 1801, Jefferson was the nation's first U.S. secretary of state under George Washington and then the nation's second vice president under John Adams."
Q11813,James,Madison,1751-03-16,1836-06-28,Port Conway,https://en.wikipedia.org/wiki/James_Madison,1809-03-04,1817-03-04,"James Madison Jr. was an American statesman, diplomat, and Founding Father who served as the fourth president of the United States from 1809 to 1817. Madison was popularly acclaimed the ""Father of the Constitution"" for his pivotal role in drafting and promoting the Constitution of the United States and the Bill of Rights."
Q11815,James,Monroe,1758-04-28,1831-07-04,Monroe Hall,https://en.wikipedia.org/wiki/James_Monroe,1817-03-04,1825-03-04,"James Monroe was an American statesman, lawyer, diplomat, and Founding Father who served as the fifth president of the United States from 1817 to 1825, a member of the Democratic-Republican Party. He was the last Founding Father to serve as president as well as the last president of the Virginia dynasty and the Republican Generation. His presidency coincided with the Era of Good Feelings, concluding the First Party System era of American politics. He issued the Monroe Doctrine, a policy of limiting European colonialism in the Americas. Monroe previously served as governor of Virginia, a member of the United States Senate, U.S. ambassador to France and Britain, the seventh secretary of state, and the eighth secretary of war."
Q11816,John,Adams,1767-07-11,1848-02-23,Braintree,https://en.wikipedia.org/wiki/John_Quincy_Adams,1825-03-04,1829-03-04,"John Quincy Adams was an American statesman, politician, diplomat, lawyer, and diarist who served as the sixth president of the United States, from 1825 to 1829. He previously served as the eighth United States secretary of state from 1817 to 1825. During his long diplomatic and political career, Adams served as an ambassador and also as a member of the United States Congress representing Massachusetts in both chambers. He was the eldest son of John Adams, who served as the second president of the United States from 1797 to 1801, and First Lady Abigail Adams. Initially a Federalist like his father, he won election to the presidency as a member of the Democratic-Republican Party, and later, in the mid-1830s, became affiliated with the Whig Party."
